transaction_id,customer_id,transaction_date,amount,payment_status,days_overdue,invoice_id
55,6,2023-07-25,5916.88,Paid,0,INV-6-202307
56,6,2023-08-25,5916.88,Late,12,INV-6-202308
57,6,2023-09-25,5916.88,Late,23,INV-6-202309
58,6,2023-10-25,5916.88,Failed,28,INV-6-202310
59,6,2023-11-25,5916.88,Pending,11,INV-6-202311
60,6,2023-12-25,5916.88,Pending,23,INV-6-202312
61,7,2023-04-08,7063.65,Paid,0,INV-7-202304
62,7,2023-05-08,7063.65,Paid,0,INV-7-202305
63,7,2023-06-08,7063.65,Paid,6,INV-7-202306
64,7,2023-07-08,7063.65,Paid,0,INV-7-202307
65,7,2023-08-08,7063.65,Late,0,INV-7-202308
66,7,2023-09-08,7063.65,Paid,0,INV-7-202309
67,7,2023-10-08,7063.65,Paid,0,INV-7-202310
68,7,2023-11-08,7063.65,Paid,0,INV-7-202311
69,7,2023-12-08,7063.65,Paid,0,INV-7-202312
70,7,2024-01-08,7063.65,Late,0,INV-7-202401
71,8,2023-04-20,4305.40,Late,1,INV-8-202304
72,8,2023-05-20,4305.40,Paid,0,INV-8-202305
73,8,2023-06-20,4305.40,Paid,0,INV-8-202306
74,8,2023-07-20,4305.40,Paid,0,INV-8-202307
75,8,2023-08-20,4305.40,Paid,0,INV-8-202308
76,8,2023-09-20,4305.40,Paid,0,INV-8-202309
77,8,2023-10-20,4305.40,Paid,0,INV-8-202310
78,8,2023-11-20,4305.40,Paid,0,INV-8-202311
79,8,2023-12-20,4305.40,Paid,5,INV-8-202312
80,8,2024-01-20,4305.40,Paid,12,INV-8-202401
81,9,2023-05-12,6134.25,Paid,15,INV-9-202305
82,9,2023-06-12,6134.25,Paid,0,INV-9-202306
83,9,2023-07-12,6134.25,Paid,1,INV-9-202307
84,9,2023-08-12,6134.25,Paid,0,INV-9-202308
85,9,2023-09-12,6134.25,Paid,0,INV-9-202309
86,9,2023-10-12,6134.25,Paid,0,INV-9-202310
87,9,2023-11-12,6134.25,Paid,0,INV-9-202311
88,9,2023-12-12,6134.25,Paid,0,INV-9-202312
89,9,2024-01-12,6134.25,Paid,0,INV-9-202401
90,9,2024-02-12,6134.25,Paid,0,INV-9-202402
91,10,2023-05-28,6472.66,Late,0,INV-10-202305
92,10,2023-06-28,6472.66,Paid,0,INV-10-202306
93,10,2023-07-28,6472.66,Paid,0,INV-10-202307
94,10,2023-08-28,6472.66,Late,0,INV-10-202308
95,10,2023-09-28,6472.66,Paid,0,INV-10-202309
96,10,2023-10-28,6472.66,Paid,0,INV-10-202310
97,10,2023-11-28,6472.66,Paid,0,INV-10-202311
98,10,2023-12-28,6472.66,Late,0,INV-10-202312
99,10,2024-01-28,6472.66,Late,0,INV-10-202401
100,10,2024-02-28,6472.66,Paid,0,INV-10-202402
101,11,2023-06-15,4174.54,Paid,0,INV-11-202306
102,11,2023-07-15,4174.54,Paid,0,INV-11-202307
103,11,2023-08-15,4174.54,Paid,0,INV-11-202308
104,11,2023-09-15,4174.54,Paid,0,INV-11-202309
105,11,2023-10-15,4174.54,Paid,0,INV-11-202310
106,11,2023-11-15,4174.54,Paid,0,INV-11-202311
107,11,2023-12-15,4174.54,Paid,0,INV-11-202312
108,11,2024-01-15,4174.54,Paid,0,INV-11-202401
109,11,2024-02-15,4174.54,Paid,0,INV-11-202402
110,11,2024-03-15,4174.54,Paid,0,INV-11-202403
111,12,2023-06-30,6526.23,Paid,2,INV-12-202306
112,12,2023-07-30,6526.23,Paid,0,INV-12-202307
113,12,2023-08-30,6526.23,Late,0,INV-12-202308
114,12,2023-09-30,6526.23,Paid,0,INV-12-202309
115,12,2023-10-30,6526.23,Paid,0,INV-12-202310
116,12,2023-11-30,6526.23,Paid,7,INV-12-202311
117,12,2023-12-30,6526.23,Paid,0,INV-12-202312
118,12,2024-01-30,6526.23,Paid,0,INV-12-202401
119,12,2024-02-29,6526.23,Paid,0,INV-12-202402
120,12,2024-03-30,6526.23,Paid,1,INV-12-202403
121,13,2023-07-10,7790.79,Paid,0,INV-13-202307
122,13,2023-08-10,7790.79,Paid,0,INV-13-202308
123,13,2023-09-10,7790.79,Paid,0,INV-13-202309
124,13,2023-10-10,7790.79,Paid,0,INV-13-202310
125,13,2023-11-10,7790.79,Paid,8,INV-13-202311
126,13,2023-12-10,7790.79,Paid,0,INV-13-202312
127,13,2024-01-10,7790.79,Paid,0,INV-13-202401
128,13,2024-02-10,7790.79,Late,0,INV-13-202402
129,13,2024-03-10,7790.79,Paid,14,INV-13-202403
130,13,2024-04-10,7790.79,Paid,0,INV-13-202404
131,14,2023-07-25,7615.41,Paid,15,INV-14-202307
132,14,2023-08-25,7615.41,Paid,0,INV-14-202308
133,14,2023-09-25,7615.41,Paid,0,INV-14-202309
134,14,2023-10-25,7615.41,Late,0,INV-14-202310
135,14,2023-11-25,7615.41,Paid,0,INV-14-202311
136,14,2023-12-25,7615.41,Paid,0,INV-14-202312
137,14,2024-01-25,7615.41,Paid,5,INV-14-202401
138,14,2024-02-25,7615.41,Paid,0,INV-14-202402
139,14,2024-03-25,7615.41,Paid,0,INV-14-202403
140,14,2024-04-25,7615.41,Paid,15,INV-14-202404
141,15,2023-08-08,4739.05,Paid,0,INV-15-202308
142,15,2023-09-08,4739.05,Paid,0,INV-15-202309
143,15,2023-10-08,4739.05,Paid,0,INV-15-202310
144,15,2023-11-08,4739.05,Paid,0,INV-15-202311
145,15,2023-12-08,4739.05,Paid,0,INV-15-202312
146,15,2024-01-08,4739.05,Paid,6,INV-15-202401
147,15,2024-02-08,4739.05,Paid,0,INV-15-202402
148,15,2024-03-08,4739.05,Paid,0,INV-15-202403
149,15,2024-04-08,4739.05,Late,0,INV-15-202404
150,15,2024-05-08,4739.05,Failed,8,INV-15-202405
151,16,2023-08-22,6388.68,Paid,0,INV-16-202308
152,16,2023-09-22,6388.68,Paid,5,INV-16-202309
153,16,2023-10-22,6388.68,Paid,0,INV-16-202310
154,16,2023-11-22,6388.68,Paid,0,INV-16-202311
155,16,2023-12-22,6388.68,Paid,0,INV-16-202312
156,16,2024-01-22,6388.68,Paid,0,INV-16-202401
157,16,2024-02-22,6388.68,Late,0,INV-16-202402
158,16,2024-03-22,6388.68,Paid,0,INV-16-202403
159,16,2024-04-22,6388.68,Late,0,INV-16-202404
160,16,2024-05-22,6388.68,Paid,0,INV-16-202405
161,17,2023-09-05,5185.10,Late,0,INV-17-202309
162,17,2023-10-05,5185.10,Late,0,INV-17-202310
163,17,2023-11-05,5185.10,Paid,0,INV-17-202311
164,17,2023-12-05,5185.10,Paid,0,INV-17-202312
165,17,2024-01-05,5185.10,Paid,0,INV-17-202401
166,17,2024-02-05,5185.10,Paid,0,INV-17-202402
167,17,2024-03-05,5185.10,Paid,0,INV-17-202403
168,17,2024-04-05,5185.10,Paid,0,INV-17-202404
169,17,2024-05-05,5185.10,Paid,2,INV-17-202405
170,17,2024-06-05,5185.10,Paid,0,INV-17-202406
171,18,2023-09-18,5388.60,Paid,15,INV-18-202309
172,18,2023-10-18,5388.60,Late,0,INV-18-202310
173,18,2023-11-18,5388.60,Late,0,INV-18-202311
174,18,2023-12-18,5388.60,Paid,0,INV-18-202312
175,18,2024-01-18,5388.60,Paid,0,INV-18-202401
176,18,2024-02-18,5388.60,Paid,0,INV-18-202402
177,18,2024-03-18,5388.60,Late,0,INV-18-202403
178,18,2024-04-18,5388.60,Paid,0,INV-18-202404
179,18,2024-05-18,5388.60,Paid,0,INV-18-202405
180,18,2024-06-18,5388.60,Paid,2,INV-18-202406
181,19,2023-10-10,3863.37,Paid,0,INV-19-202310
182,19,2023-11-10,3863.37,Late,0,INV-19-202311
183,19,2023-12-10,3863.37,Paid,0,INV-19-202312
184,19,2024-01-10,3863.37,Late,0,INV-19-202401
185,19,2024-02-10,3863.37,Paid,0,INV-19-202402
186,19,2024-03-10,3863.37,Paid,0,INV-19-202403
187,19,2024-04-10,3863.37,Late,19,INV-19-202404
188,19,2024-05-10,3863.37,Pending,5,INV-19-202405
189,19,2024-06-10,3863.37,Pending,16,INV-19-202406
190,19,2024-07-10,3863.37,Pending,29,INV-19-202407
191,20,2023-10-25,7661.35,Late,0,INV-20-202310
192,20,2023-11-25,7661.35,Paid,0,INV-20-202311
193,20,2023-12-25,7661.35,Paid,0,INV-20-202312
194,20,2024-01-25,7661.35,Paid,7,INV-20-202401
195,20,2024-02-25,7661.35,Late,0,INV-20-202402
196,20,2024-03-25,7661.35,Paid,0,INV-20-202403
197,20,2024-04-25,7661.35,Paid,0,INV-20-202404
198,20,2024-05-25,7661.35,Paid,0,INV-20-202405
199,20,2024-06-25,7661.35,Paid,0,INV-20-202406
200,20,2024-07-25,7661.35,Paid,0,INV-20-202407
201,21,2023-11-08,7726.66,Late,0,INV-21-202311
202,21,2023-12-08,7726.66,Paid,0,INV-21-202312
203,21,2024-01-08,7726.66,Paid,0,INV-21-202401
204,21,2024-02-08,7726.66,Paid,0,INV-21-202402
205,21,2024-03-08,7726.66,Paid,0,INV-21-202403
206,21,2024-04-08,7726.66,Paid,0,INV-21-202404
207,21,2024-05-08,7726.66,Paid,8,INV-21-202405
208,21,2024-06-08,7726.66,Paid,0,INV-21-202406
209,21,2024-07-08,7726.66,Paid,0,INV-21-202407
210,21,2024-08-08,7726.66,Paid,0,INV-21-202408
211,22,2023-11-22,7675.98,Paid,0,INV-22-202311
212,22,2023-12-22,7675.98,Paid,0,INV-22-202312
213,22,2024-01-22,7675.98,Paid,0,INV-22-202401
214,22,2024-02-22,7675.98,Paid,0,INV-22-202402
215,22,2024-03-22,7675.98,Paid,7,INV-22-202403
216,22,2024-04-22,7675.98,Paid,0,INV-22-202404
217,22,2024-05-22,7675.98,Paid,15,INV-22-202405
218,22,2024-06-22,7675.98,Late,0,INV-22-202406
219,22,2024-07-22,7675.98,Paid,0,INV-22-202407
220,22,2024-08-22,7675.98,Late,0,INV-22-202408
221,23,2023-12-05,3667.04,Paid,0,INV-23-202312
222,23,2024-01-05,3667.04,Paid,0,INV-23-202401
223,23,2024-02-05,3667.04,Paid,0,INV-23-202402
224,23,2024-03-05,3667.04,Paid,0,INV-23-202403
225,23,2024-04-05,3667.04,Late,0,INV-23-202404
226,23,2024-05-05,3667.04,Late,0,INV-23-202405
227,23,2024-06-05,3667.04,Paid,8,INV-23-202406
228,23,2024-07-05,3667.04,Paid,0,INV-23-202407
229,23,2024-08-05,3667.04,Paid,0,INV-23-202408
230,23,2024-09-05,3667.04,Late,0,INV-23-202409
231,24,2023-12-20,7724.16,Paid,0,INV-24-202312
232,24,2024-01-20,7724.16,Paid,4,INV-24-202401
233,24,2024-02-20,7724.16,Paid,1,INV-24-202402
234,24,2024-03-20,7724.16,Paid,0,INV-24-202403
235,24,2024-04-20,7724.16,Paid,0,INV-24-202404
236,24,2024-05-20,7724.16,Paid,0,INV-24-202405
237,24,2024-06-20,7724.16,Paid,0,INV-24-202406
238,24,2024-07-20,7724.16,Paid,0,INV-24-202407
239,24,2024-08-20,7724.16,Paid,0,INV-24-202408
240,24,2024-09-20,7724.16,Paid,0,INV-24-202409
241,25,2024-01-10,7188.23,Paid,0,INV-25-202401
242,25,2024-02-10,7188.23,Paid,3,INV-25-202402
243,25,2024-03-10,7188.23,Paid,14,INV-25-202403
244,25,2024-04-10,7188.23,Paid,0,INV-25-202404
245,25,2024-05-10,7188.23,Paid,0,INV-25-202405
246,25,2024-06-10,7188.23,Late,0,INV-25-202406
247,25,2024-07-10,7188.23,Late,0,INV-25-202407
248,25,2024-08-10,7188.23,Paid,0,INV-25-202408
249,25,2024-09-10,7188.23,Paid,0,INV-25-202409
250,25,2024-10-10,7188.23,Paid,0,INV-25-202410
251,26,2024-01-25,6907.30,Paid,0,INV-26-202401
252,26,2024-02-25,6907.30,Paid,3,INV-26-202402
253,26,2024-03-25,6907.30,Paid,1,INV-26-202403
254,26,2024-04-25,6907.30,Paid,0,INV-26-202404
255,26,2024-05-25,6907.30,Paid,0,INV-26-202405
256,26,2024-06-25,6907.30,Paid,8,INV-26-202406
257,26,2024-07-25,6907.30,Late,1,INV-26-202407
258,26,2024-08-25,6907.30,Paid,0,INV-26-202408
259,26,2024-09-25,6907.30,Paid,0,INV-26-202409
260,26,2024-10-25,6907.30,Paid,0,INV-26-202410
261,27,2024-02-08,4862.93,Paid,0,INV-27-202402
262,27,2024-03-08,4862.93,Paid,0,INV-27-202403
263,27,2024-04-08,4862.93,Paid,0,INV-27-202404
264,27,2024-05-08,4862.93,Paid,0,INV-27-202405
265,27,2024-06-08,4862.93,Paid,0,INV-27-202406
266,27,2024-07-08,4862.93,Paid,0,INV-27-202407
267,27,2024-08-08,4862.93,Late,0,INV-27-202408
268,27,2024-09-08,4862.93,Late,6,INV-27-202409
269,27,2024-10-08,4862.93,Paid,0,INV-27-202410
270,27,2024-11-08,4862.93,Paid,0,INV-27-202411
271,28,2024-02-22,5477.52,Paid,0,INV-28-202402
272,28,2024-03-22,5477.52,Paid,0,INV-28-202403
273,28,2024-04-22,5477.52,Paid,0,INV-28-202404
274,28,2024-05-22,5477.52,Paid,0,INV-28-202405
275,28,2024-06-22,5477.52,Paid,14,INV-28-202406
276,28,2024-07-22,5477.52,Paid,0,INV-28-202407
277,28,2024-08-22,5477.52,Paid,0,INV-28-202408
278,28,2024-09-22,5477.52,Paid,0,INV-28-202409
279,28,2024-10-22,5477.52,Paid,0,INV-28-202410
280,28,2024-11-22,5477.52,Paid,0,INV-28-202411
281,29,2024-03-10,5444.48,Paid,0,INV-29-202403
282,29,2024-04-10,5444.48,Paid,0,INV-29-202404
283,29,2024-05-10,5444.48,Paid,0,INV-29-202405
284,29,2024-06-10,5444.48,Paid,0,INV-29-202406
285,29,2024-07-10,5444.48,Paid,0,INV-29-202407
286,29,2024-08-10,5444.48,Paid,0,INV-29-202408
287,29,2024-09-10,5444.48,Late,0,INV-29-202409
288,29,2024-10-10,5444.48,Paid,0,INV-29-202410
289,29,2024-11-10,5444.48,Paid,0,INV-29-202411
290,29,2024-12-10,5444.48,Paid,0,INV-29-202412
291,30,2024-03-25,7777.43,Paid,0,INV-30-202403
292,30,2024-04-25,7777.43,Paid,0,INV-30-202404
293,30,2024-05-25,7777.43,Late,0,INV-30-202405
294,30,2024-06-25,7777.43,Paid,0,INV-30-202406
295,30,2024-07-25,7777.43,Paid,0,INV-30-202407
296,30,2024-08-25,7777.43,Paid,0,INV-30-202408
297,30,2024-09-25,7777.43,Paid,0,INV-30-202409
298,30,2024-10-25,7777.43,Paid,3,INV-30-202410
299,30,2024-11-25,7777.43,Paid,0,INV-30-202411
300,30,2024-12-25,7777.43,Paid,0,INV-30-202412
301,31,2024-04-08,6655.62,Paid,0,INV-31-202404
302,31,2024-05-08,6655.62,Paid,0,INV-31-202405
303,31,2024-06-08,6655.62,Late,15,INV-31-202406
304,31,2024-07-08,6655.62,Paid,0,INV-31-202407
305,31,2024-08-08,6655.62,Paid,0,INV-31-202408
306,31,2024-09-08,6655.62,Paid,13,INV-31-202409
307,31,2024-10-08,6655.62,Paid,0,INV-31-202410
308,31,2024-11-08,6655.62,Late,0,INV-31-202411
309,31,2024-12-08,6655.62,Late,0,INV-31-202412
310,31,2025-01-08,6655.62,Paid,14,INV-31-202501
311,32,2024-04-22,3604.25,Paid,7,INV-32-202404
312,32,2024-05-22,3604.25,Pending,11,INV-32-202405
313,32,2024-06-22,3604.25,Late,26,INV-32-202406
314,32,2024-07-22,3604.25,Failed,27,INV-32-202407
315,32,2024-08-22,3604.25,Pending,25,INV-32-202408
316,32,2024-09-22,3604.25,Pending,10,INV-32-202409
317,32,2024-10-22,3604.25,Late,7,INV-32-202410
318,32,2024-11-22,3604.25,Late,15,INV-32-202411
319,32,2024-12-22,3604.25,Late,13,INV-32-202412
320,32,2025-01-22,3604.25,Failed,17,INV-32-202501
321,33,2024-05-10,6860.71,Paid,0,INV-33-202405
322,33,2024-06-10,6860.71,Paid,0,INV-33-202406
323,33,2024-07-10,6860.71,Paid,0,INV-33-202407
324,33,2024-08-10,6860.71,Failed,0,INV-33-202408
325,33,2024-09-10,6860.71,Paid,0,INV-33-202409
326,33,2024-10-10,6860.71,Paid,0,INV-33-202410
327,33,2024-11-10,6860.71,Paid,0,INV-33-202411
328,33,2024-12-10,6860.71,Paid,0,INV-33-202412
329,33,2025-01-10,6860.71,Late,0,INV-33-202501
330,33,2025-02-10,6860.71,Paid,0,INV-33-202502
331,34,2024-05-25,5918.31,Paid,0,INV-34-202405
332,34,2024-06-25,5918.31,Paid,0,INV-34-202406
333,34,2024-07-25,5918.31,Paid,0,INV-34-202407
334,34,2024-08-25,5918.31,Paid,0,INV-34-202408
335,34,2024-09-25,5918.31,Paid,0,INV-34-202409
336,34,2024-10-25,5918.31,Paid,0,INV-34-202410
337,34,2024-11-25,5918.31,Late,0,INV-34-202411
338,34,2024-12-25,5918.31,Paid,0,INV-34-202412
339,34,2025-01-25,5918.31,Paid,0,INV-34-202501
340,34,2025-02-25,5918.31,Paid,4,INV-34-202502
341,35,2024-06-08,4507.58,Paid,3,INV-35-202406
342,35,2024-07-08,4507.58,Paid,0,INV-35-202407
343,35,2024-08-08,4507.58,Paid,0,INV-35-202408
344,35,2024-09-08,4507.58,Paid,0,INV-35-202409
345,35,2024-10-08,4507.58,Paid,6,INV-35-202410
346,35,2024-11-08,4507.58,Paid,0,INV-35-202411
347,35,2024-12-08,4507.58,Paid,0,INV-35-202412
348,36,2024-06-22,7362.39,Paid,0,INV-36-202406
349,36,2024-07-22,7362.39,Late,11,INV-36-202407
350,36,2024-08-22,7362.39,Paid,9,INV-36-202408
351,36,2024-09-22,7362.39,Failed,0,INV-36-202409
352,36,2024-10-22,7362.39,Paid,0,INV-36-202410
353,36,2024-11-22,7362.39,Paid,7,INV-36-202411
354,36,2024-12-22,7362.39,Paid,0,INV-36-202412
355,36,2025-01-22,7362.39,Late,0,INV-36-202501
356,36,2025-02-22,7362.39,Paid,6,INV-36-202502
357,36,2025-03-22,7362.39,Paid,0,INV-36-202503
358,37,2024-07-10,7545.63,Paid,6,INV-37-202407
359,37,2024-08-10,7545.63,Paid,0,INV-37-202408
360,37,2024-09-10,7545.63,Paid,0,INV-37-202409
361,37,2024-10-10,7545.63,Paid,4,INV-37-202410
362,37,2024-11-10,7545.63,Paid,0,INV-37-202411
363,37,2024-12-10,7545.63,Paid,0,INV-37-202412
364,37,2025-01-10,7545.63,Paid,0,INV-37-202501
365,37,2025-02-10,7545.63,Paid,0,INV-37-202502
366,37,2025-03-10,7545.63,Paid,0,INV-37-202503
367,37,2025-04-10,7545.63,Late,0,INV-37-202504
368,38,2024-07-25,5283.15,Paid,0,INV-38-202407
369,38,2024-08-25,5283.15,Late,11,INV-38-202408
370,38,2024-09-25,5283.15,Paid,0,INV-38-202409
371,38,2024-10-25,5283.15,Paid,0,INV-38-202410
372,38,2024-11-25,5283.15,Paid,0,INV-38-202411
373,38,2024-12-25,5283.15,Paid,12,INV-38-202412
374,38,2025-01-25,5283.15,Paid,4,INV-38-202501
375,38,2025-02-25,5283.15,Paid,0,INV-38-202502
376,38,2025-03-25,5283.15,Pending,21,INV-38-202503
377,38,2025-04-25,5283.15,Late,5,INV-38-202504
378,39,2024-08-08,5063.50,Paid,0,INV-39-202408
379,39,2024-09-08,5063.50,Paid,0,INV-39-202409
380,39,2024-10-08,5063.50,Late,14,INV-39-202410
381,39,2024-11-08,5063.50,Paid,0,INV-39-202411
382,39,2024-12-08,5063.50,Paid,0,INV-39-202412
383,39,2025-01-08,5063.50,Paid,0,INV-39-202501
384,39,2025-02-08,5063.50,Paid,2,INV-39-202502
385,39,2025-03-08,5063.50,Paid,1,INV-39-202503
386,39,2025-04-08,5063.50,Paid,11,INV-39-202504
387,39,2025-05-08,5063.50,Paid,0,INV-39-202505
388,40,2024-08-22,4231.56,Late,0,INV-40-202408
389,40,2024-09-22,4231.56,Paid,6,INV-40-202409
390,40,2024-10-22,4231.56,Paid,0,INV-40-202410
391,40,2024-11-22,4231.56,Paid,0,INV-40-202411
392,40,2024-12-22,4231.56,Paid,8,INV-40-202412
393,40,2025-01-22,4231.56,Paid,0,INV-40-202501
394,40,2025-02-22,4231.56,Paid,0,INV-40-202502
395,40,2025-03-22,4231.56,Paid,0,INV-40-202503
396,40,2025-04-22,4231.56,Paid,0,INV-40-202504
397,40,2025-05-22,4231.56,Paid,0,INV-40-202505
398,41,2023-01-20,6041.16,Paid,15,INV-41-202301
399,41,2023-02-20,6041.16,Paid,0,INV-41-202302
400,41,2023-03-20,6041.16,Late,19,INV-41-202303
401,41,2023-04-20,6041.16,Late,14,INV-41-202304
402,41,2023-05-20,6041.16,Pending,29,INV-41-202305
403,41,2023-06-20,6041.16,Failed,25,INV-41-202306
404,41,2023-07-20,6041.16,Pending,7,INV-41-202307
405,41,2023-08-20,6041.16,Pending,23,INV-41-202308
406,41,2023-09-20,6041.16,Late,19,INV-41-202309
407,41,2023-10-20,6041.16,Late,28,INV-41-202310
408,42,2023-02-12,5807.41,Paid,0,INV-42-202302
409,42,2023-03-12,5807.41,Paid,0,INV-42-202303
410,42,2023-04-12,5807.41,Paid,0,INV-42-202304
411,42,2023-05-12,5807.41,Paid,0,INV-42-202305
412,42,2023-06-12,5807.41,Failed,10,INV-42-202306
413,42,2023-07-12,5807.41,Failed,15,INV-42-202307
414,42,2023-08-12,5807.41,Paid,0,INV-42-202308
415,42,2023-09-12,5807.41,Paid,0,INV-42-202309
416,42,2023-10-12,5807.41,Paid,0,INV-42-202310
417,42,2023-11-12,5807.41,Paid,0,INV-42-202311
418,43,2023-03-15,4740.39,Paid,0,INV-43-202303
419,43,2023-04-15,4740.39,Paid,0,INV-43-202304
420,43,2023-05-15,4740.39,Paid,0,INV-43-202305
421,43,2023-06-15,4740.39,Paid,0,INV-43-202306
422,43,2023-07-15,4740.39,Late,7,INV-43-202307
423,43,2023-08-15,4740.39,Paid,0,INV-43-202308
424,43,2023-09-15,4740.39,Paid,0,INV-43-202309
425,43,2023-10-15,4740.39,Paid,0,INV-43-202310
426,43,2023-11-15,4740.39,Late,11,INV-43-202311
427,43,2023-12-15,4740.39,Paid,0,INV-43-202312
428,44,2023-04-18,5269.72,Paid,0,INV-44-202304
429,44,2023-05-18,5269.72,Paid,0,INV-44-202305
430,44,2023-06-18,5269.72,Late,8,INV-44-202306
431,44,2023-07-18,5269.72,Paid,0,INV-44-202307
432,44,2023-08-18,5269.72,Paid,0,INV-44-202308
433,44,2023-09-18,5269.72,Late,0,INV-44-202309
434,44,2023-10-18,5269.72,Paid,0,INV-44-202310
435,44,2023-11-18,5269.72,Paid,0,INV-44-202311
436,44,2023-12-18,5269.72,Paid,0,INV-44-202312
437,44,2024-01-18,5269.72,Late,0,INV-44-202401
438,45,2023-05-20,7199.68,Paid,0,INV-45-202305
439,45,2023-06-20,7199.68,Paid,0,INV-45-202306
440,45,2023-07-20,7199.68,Paid,0,INV-45-202307
441,45,2023-08-20,7199.68,Paid,0,INV-45-202308
442,45,2023-09-20,7199.68,Paid,0,INV-45-202309
443,45,2023-10-20,7199.68,Late,4,INV-45-202310
444,45,2023-11-20,7199.68,Paid,2,INV-45-202311
445,45,2023-12-20,7199.68,Paid,0,INV-45-202312
446,45,2024-01-20,7199.68,Paid,0,INV-45-202401
447,45,2024-02-20,7199.68,Paid,0,INV-45-202402
448,46,2023-06-22,7763.40,Paid,0,INV-46-202306
449,46,2023-07-22,7763.40,Late,0,INV-46-202307
450,46,2023-08-22,7763.40,Paid,0,INV-46-202308
451,46,2023-09-22,7763.40,Paid,12,INV-46-202309
452,46,2023-10-22,7763.40,Late,0,INV-46-202310
453,46,2023-11-22,7763.40,Paid,14,INV-46-202311
454,46,2023-12-22,7763.40,Late,27,INV-46-202312
455,46,2024-01-22,7763.40,Failed,23,INV-46-202401
456,46,2024-02-22,7763.40,Late,12,INV-46-202402
457,46,2024-03-22,7763.40,Late,19,INV-46-202403
458,47,2023-07-15,3994.24,Paid,0,INV-47-202307
459,47,2023-08-15,3994.24,Paid,0,INV-47-202308
460,47,2023-09-15,3994.24,Paid,0,INV-47-202309
461,47,2023-10-15,3994.24,Paid,0,INV-47-202310
462,47,2023-11-15,3994.24,Late,0,INV-47-202311
463,47,2023-12-15,3994.24,Paid,0,INV-47-202312
464,47,2024-01-15,3994.24,Paid,1,INV-47-202401
465,47,2024-02-15,3994.24,Paid,0,INV-47-202402
466,47,2024-03-15,3994.24,Late,13,INV-47-202403
467,47,2024-04-15,3994.24,Paid,0,INV-47-202404
